城市,面积,房龄,楼层,总楼层,距离CBD距离,距离地铁距离,周边学校数量,周边医院数量,人均GDP,人口密度,房屋类型,装修情况,单价,总价
汕头,105.6,11.5,12,33,3.94,3.24,4,1,99600,675,公寓,精装,7985,842934
珠海,115.4,0.4,21,24,12.52,1.91,0,3,77241,611,住宅,毛坯,20762,2396190
东莞,93.9,3.1,21,22,10.34,0.74,3,2,93192,923,住宅,精装,27409,2573859
东莞,40.0,0.1,12,31,6.69,1.56,7,0,54189,676,住宅,简装,25767,1030712
梅州,107.9,0.5,24,32,11.87,1.15,3,1,54486,654,住宅,简装,5974,644822
河源,88.2,21.1,18,32,16.5,4.85,2,2,77164,428,住宅,毛坯,3000,264560
云浮,72.6,2.3,26,34,4.92,0.43,3,3,66769,751,住宅,豪装,10738,779825
韶关,63.3,8.8,10,13,13.22,1.77,3,3,72926,508,公寓,简装,4882,309229
珠海,93.1,16.8,5,13,39.86,1.32,2,4,50981,1126,住宅,精装,6474,602727
江门,94.9,1.3,3,25,6.81,1.13,1,1,69338,1370,住宅,精装,20167,1914197
佛山,130.0,4.5,28,29,15.67,0.04,3,0,65520,867,住宅,简装,19726,2564881
东莞,129.8,0.4,6,12,33.07,0.02,3,0,86395,735,公寓,豪装,15314,1987931
河源,56.9,5.8,24,27,5.94,0.02,3,2,72428,411,公寓,豪装,7095,403537
云浮,134.1,11.6,22,31,37.47,0.44,6,4,131950,1114,住宅,简装,3000,402251
珠海,104.8,5.7,30,33,5.09,2.67,2,3,104810,555,公寓,精装,30327,3178061
广州,127.8,3.5,24,33,49.01,2.11,4,2,69068,408,住宅,简装,3000,383470
揭阳,118.9,13.3,3,25,4.58,0.51,5,2,95922,1261,住宅,豪装,9853,1171477
云浮,86.9,0.9,17,23,36.5,5.84,1,4,83856,768,住宅,简装,3000,260570
广州,96.8,3.3,28,28,14.25,4.06,4,2,67922,1057,住宅,精装,35512,3435862
珠海,108.5,3.1,30,30,0.78,0.09,3,1,74764,665,住宅,简装,28476,3090156
中山,99.1,8.2,7,16,8.44,4.16,1,3,78949,901,住宅,精装,15643,1549846
茂名,41.9,23.7,1,12,19.22,0.16,2,2,87334,1217,住宅,简装,3736,156649
珠海,112.1,0.3,20,21,26.85,0.71,1,3,73371,832,住宅,豪装,20230,2268118
肇庆,101.2,5.3,29,34,25.18,2.72,2,2,47532,1186,住宅,简装,5649,571426
河源,140.9,12.0,27,31,15.57,0.03,2,1,100837,1096,住宅,简装,7410,1044013
中山,60.8,1.7,8,13,2.51,3.87,2,2,112094,485,住宅,简装,17410,1058775
阳江,119.7,9.2,22,29,22.57,3.68,4,2,57679,905,住宅,精装,3678,440212
深圳,87.1,0.1,11,27,5.38,1.97,2,3,84423,215,住宅,简装,50785,4424272
茂名,118.8,2.8,17,28,1.85,1.92,3,3,88194,901,住宅,毛坯,9972,1184820
深圳,133.5,14.8,3,7,29.58,0.01,0,7,74473,904,住宅,精装,33599,4486229
东莞,153.8,5.5,29,32,61.78,6.47,4,6,70844,422,住宅,精装,3000,461328
肇庆,118.9,1.2,9,21,8.88,0.84,2,2,88947,830,公寓,毛坯,11028,1311132
广州,45.4,6.7,18,24,10.51,4.04,5,2,59196,847,住宅,简装,33394,1517146
江门,111.9,11.7,18,27,4.1,3.09,1,3,79849,1207,住宅,精装,18091,2025354
惠州,84.5,1.0,15,25,9.14,1.36,0,2,75947,1006,公寓,简装,15608,1318947
清远,47.7,22.8,20,22,1.67,1.7,4,1,75057,1177,住宅,精装,7843,374410
湛江,55.3,4.0,11,34,26.78,0.64,3,2,60789,1491,公寓,简装,4559,252045
茂名,123.4,9.8,12,24,8.11,2.62,1,2,103655,1081,住宅,精装,8503,1049136
珠海,86.5,8.9,16,31,31.91,3.28,5,1,92803,971,住宅,精装,11872,1026369
中山,134.6,3.7,9,17,7.82,0.24,1,5,57707,848,公寓,豪装,22031,2966466
汕尾,91.0,1.9,22,22,10.84,0.45,2,1,71564,976,公寓,精装,7638,694907
湛江,86.6,8.2,7,29,14.57,3.01,2,3,121062,902,公寓,精装,8571,742575
汕头,174.3,11.1,29,33,1.15,0.11,4,3,91961,697,住宅,豪装,16095,2804862
汕尾,70.0,9.4,4,4,4.87,11.42,3,0,114738,1264,住宅,精装,4230,295984
揭阳,92.1,2.2,22,31,1.13,6.16,4,1,73339,919,住宅,毛坯,5553,511752
广州,116.1,6.3,8,29,2.28,0.0,2,2,77553,854,住宅,精装,53643,6227975
肇庆,84.7,7.3,25,28,20.3,0.72,3,1,42560,546,公寓,精装,6510,551132
河源,108.9,0.7,23,33,18.74,2.15,3,3,55348,448,住宅,简装,4026,438330
清远,95.9,5.8,2,7,0.47,4.23,0,4,80434,1198,住宅,简装,10796,1034898
河源,133.7,0.0,6,11,2.7,0.53,1,0,97303,1017,住宅,毛坯,10195,1363317
梅州,90.2,2.1,5,31,4.39,5.64,4,4,61639,534,住宅,简装,5525,498641
潮州,105.1,1.4,1,3,13.96,2.35,4,4,74733,1124,公寓,简装,5124,538754
阳江,40.0,4.2,13,20,2.2,0.44,1,0,77010,357,别墅,毛坯,10689,427583
深圳,57.1,0.1,8,18,20.74,0.8,2,1,52588,391,公寓,毛坯,23344,1332653
深圳,179.0,5.5,3,18,7.26,5.8,4,4,90973,279,住宅,精装,44677,7995959
潮州,91.0,0.4,29,29,25.0,0.18,7,2,112248,931,住宅,简装,5600,509692
东莞,125.9,0.9,21,28,2.77,3.45,3,0,51274,1591,住宅,简装,27845,3506801
揭阳,136.7,18.5,17,33,7.2,0.3,5,1,53095,822,住宅,精装,7059,964960
茂名,84.1,1.1,4,32,2.06,0.05,4,1,94836,480,住宅,简装,8622,725430
韶关,108.9,11.2,27,34,5.56,1.32,4,5,104472,535,公寓,精装,6828,743745
阳江,64.1,30.0,24,32,7.78,0.13,3,3,53835,315,公寓,简装,3000,192334
惠州,68.6,2.3,20,29,7.93,0.52,3,3,93338,853,住宅,简装,19521,1339827
佛山,82.9,28.9,17,17,4.69,0.08,2,1,98594,756,别墅,精装,23076,1913995
广州,82.0,3.3,4,8,9.83,1.61,3,1,105454,176,住宅,精装,36910,3027813
肇庆,40.0,10.6,29,29,4.31,1.88,3,1,50016,894,住宅,豪装,10062,402484
云浮,158.0,29.9,11,34,35.36,0.17,2,3,52291,931,住宅,简装,3000,473885
梅州,120.3,5.5,16,26,0.27,1.32,4,4,95099,575,住宅,精装,9923,1193550
梅州,95.7,6.7,6,10,9.67,3.13,1,4,69741,663,住宅,精装,5867,561322
佛山,84.7,12.2,15,33,16.73,0.44,3,1,66332,1020,住宅,简装,18570,1572052
湛江,102.3,0.8,22,28,24.58,0.23,4,3,82464,679,住宅,简装,6329,647423
汕头,51.7,3.3,28,29,0.3,0.29,2,3,82300,1346,住宅,豪装,17186,888995
韶关,88.4,11.8,17,17,0.9,0.73,1,1,61652,178,住宅,精装,6080,537330
汕尾,60.9,10.6,26,31,2.67,0.57,2,3,59309,884,住宅,毛坯,5167,314819
揭阳,46.8,19.2,30,33,0.76,0.01,4,2,72546,1187,公寓,精装,6146,287684
阳江,75.5,30.0,16,23,2.99,0.28,2,2,64771,1068,住宅,简装,4553,343708
珠海,94.3,1.1,29,29,15.71,0.36,0,1,107135,639,住宅,精装,24676,2327562
肇庆,111.2,1.1,29,30,16.73,4.56,3,5,91271,794,住宅,简装,8252,917413
揭阳,101.9,11.6,19,21,21.3,3.16,7,1,60077,967,公寓,简装,3000,305593
清远,131.3,6.5,8,14,1.76,0.39,2,1,100420,652,住宅,精装,11422,1499326
汕尾,113.5,0.8,21,34,49.17,3.59,5,4,87683,1237,住宅,豪装,3000,340627
中山,90.3,0.5,29,32,17.53,1.87,3,1,102068,416,住宅,毛坯,11305,1021237
茂名,102.0,8.9,28,32,13.56,0.19,3,4,104823,799,公寓,精装,8143,831027
潮州,40.0,1.9,7,11,4.15,1.43,4,0,117616,1254,住宅,精装,11265,450603
东莞,70.3,0.1,27,28,5.55,0.25,2,1,65061,680,住宅,简装,25111,1764457
潮州,69.4,8.5,25,34,2.97,2.34,3,1,66611,636,公寓,毛坯,5759,399692
佛山,56.9,25.1,8,30,17.36,2.84,3,3,110723,1082,住宅,精装,14621,832289
云浮,84.7,5.4,28,28,8.16,0.76,0,1,58209,678,住宅,简装,5227,442980
江门,99.7,7.5,16,25,16.41,2.35,2,5,101416,718,住宅,简装,10373,1034383
梅州,64.2,5.4,23,27,16.24,0.23,4,1,71269,367,住宅,毛坯,3307,212472
云浮,78.3,25.0,2,13,16.26,3.4,3,3,63226,628,住宅,豪装,3291,257733
广州,40.0,2.7,23,31,2.8,4.55,7,2,97339,997,住宅,精装,49090,1963613
广州,80.4,0.5,26,27,21.94,4.33,2,5,59490,1045,公寓,精装,24638,1980448
阳江,40.0,5.9,3,17,8.13,2.5,3,2,88272,735,公寓,豪装,8728,349158
深圳,87.5,24.0,12,26,15.49,0.22,7,2,72631,830,别墅,精装,74148,6488688
清远,114.2,5.6,11,25,6.65,0.95,4,4,81597,799,住宅,简装,10417,1189886
肇庆,123.7,4.0,10,22,9.96,7.28,0,3,78986,944,住宅,毛坯,6902,853829
汕尾,97.0,6.3,3,9,2.8,1.39,2,6,49496,396,住宅,精装,8293,804854
云浮,61.4,3.4,22,27,4.06,0.61,3,3,33319,1084,公寓,精装,5498,337384
广州,116.1,5.5,17,18,3.73,0.98,4,1,87021,541,住宅,简装,49084,5697759
清远,93.6,0.7,8,20,13.4,1.83,2,2,84204,869,住宅,简装,7549,706413
湛江,82.7,3.2,25,30,10.16,0.04,4,1,90828,450,住宅,简装,7992,660601
佛山,40.0,23.6,21,30,1.77,0.65,4,2,106786,765,住宅,简装,18778,751139
珠海,95.3,7.9,20,23,7.75,0.29,2,2,90818,713,公寓,毛坯,25901,2468970
梅州,87.5,4.1,27,32,6.38,2.13,4,0,73644,1102,住宅,简装,5972,522563
清远,70.2,4.2,27,32,10.75,5.75,0,3,54967,1135,住宅,精装,6364,446928
潮州,100.9,4.6,21,30,37.91,1.27,0,2,90749,1373,住宅,精装,3000,302556
佛山,104.6,0.1,14,34,8.12,1.67,3,1,100044,716,住宅,简装,22267,2329835
河源,52.9,0.3,30,33,17.55,2.58,2,3,121821,1035,住宅,豪装,6408,339173
佛山,116.4,12.1,20,21,14.0,1.97,7,0,75325,1473,公寓,简装,11584,1348968
阳江,124.4,0.3,5,29,26.41,0.34,3,2,131313,950,住宅,精装,6643,826478
东莞,47.9,5.0,28,28,29.88,5.3,4,2,61352,803,住宅,简装,7535,360645
河源,124.0,7.5,23,28,4.61,1.47,1,4,87979,334,住宅,简装,7347,911399
揭阳,40.0,10.2,7,14,6.07,2.81,3,4,92235,566,住宅,简装,5470,218839
佛山,99.1,1.4,17,24,1.71,5.37,5,2,42277,301,住宅,毛坯,13391,1327646
梅州,57.3,16.4,23,26,5.47,1.46,2,3,97582,1118,住宅,精装,6433,368370
清远,69.8,1.3,8,28,55.99,0.59,1,3,93744,858,住宅,简装,3000,209355
清远,112.8,15.7,6,28,3.73,0.45,6,1,81986,659,住宅,简装,9947,1121785
云浮,119.8,11.5,1,13,6.19,1.27,3,2,94030,443,住宅,简装,6128,734488
湛江,98.7,16.5,28,28,1.35,5.52,4,1,117937,894,住宅,精装,7257,716502
汕头,96.3,6.2,3,18,5.92,1.29,8,5,93737,842,住宅,精装,15956,1536483
广州,154.4,3.1,29,31,14.41,1.04,4,2,92847,1408,住宅,毛坯,53909,8323817
佛山,56.5,1.1,10,24,13.93,2.15,7,1,79695,500,公寓,毛坯,12864,726259
茂名,89.4,1.8,26,28,40.92,0.02,0,1,72946,961,住宅,豪装,3000,268070
佛山,73.2,30.0,15,18,0.24,5.43,3,5,58976,1026,住宅,精装,12578,920214
汕头,125.6,7.0,5,14,42.71,0.13,1,4,93056,854,住宅,简装,3000,376740
深圳,122.1,3.9,9,33,9.69,0.26,4,0,75483,1390,住宅,精装,87503,10688432
揭阳,127.3,5.4,18,31,4.69,1.53,4,4,100945,1048,住宅,简装,8925,1135832
茂名,111.3,12.3,16,20,47.31,0.77,3,0,66834,399,别墅,精装,3000,333918
潮州,134.3,13.5,16,25,27.58,2.06,6,3,81076,539,住宅,精装,4007,538106
广州,70.5,0.5,30,31,10.2,4.25,2,4,55301,414,住宅,简装,26846,1893780
佛山,94.4,0.6,16,21,27.83,0.39,5,2,85485,1300,住宅,精装,17122,1615823
汕尾,92.8,3.9,16,26,13.9,4.24,3,2,100373,836,住宅,毛坯,6798,630740
汕头,71.1,1.0,25,30,18.53,0.1,2,2,92004,1086,住宅,精装,9990,710735
清远,180.4,8.5,27,28,0.88,0.06,4,4,73814,1291,住宅,精装,14528,2620384
清远,124.0,6.2,4,27,11.21,1.01,2,1,64370,714,住宅,精装,8343,1034562
深圳,102.6,0.4,17,26,5.46,4.54,4,1,69587,1092,住宅,简装,75440,7742122
东莞,88.6,8.7,22,22,4.58,1.72,2,2,92412,810,住宅,毛坯,20386,1806410
揭阳,106.8,17.5,22,27,8.64,0.88,1,3,70646,610,住宅,简装,5699,608467
梅州,121.4,10.2,5,33,27.06,0.76,2,2,60320,582,住宅,精装,3610,438151
中山,67.0,0.1,16,18,1.69,0.17,0,3,89401,550,公寓,精装,22758,1524265
珠海,54.1,0.6,22,26,14.34,0.2,5,0,87884,603,别墅,毛坯,34916,1888515
广州,122.3,2.0,20,29,15.42,0.65,2,3,68992,920,住宅,简装,43086,5268181
广州,81.6,2.0,1,11,15.09,2.98,0,1,68706,414,住宅,简装,21805,1779059
潮州,94.0,24.7,15,15,43.86,2.64,3,4,69652,902,住宅,简装,3000,282030
惠州,120.7,5.5,27,33,7.72,0.22,1,1,85285,1091,住宅,简装,22229,2682078
佛山,105.9,1.2,21,33,43.18,3.26,2,2,45578,607,住宅,简装,3048,322776
梅州,40.0,2.2,13,24,0.29,2.96,1,4,79384,1067,住宅,豪装,10814,432578
珠海,107.6,22.3,25,32,3.17,1.17,1,2,96155,1098,住宅,简装,25553,2750597
广州,109.6,0.9,11,23,5.06,0.44,1,1,63017,870,住宅,毛坯,27321,2993397
广州,140.2,12.2,17,23,5.74,1.52,7,2,58399,697,住宅,毛坯,40401,5662303
肇庆,91.3,6.9,22,34,12.93,1.45,4,3,67585,691,公寓,毛坯,7998,730284
茂名,93.7,4.3,15,17,0.15,0.64,2,3,90917,728,住宅,毛坯,8324,779714
惠州,156.9,19.4,14,29,0.04,1.2,2,2,81530,735,住宅,简装,11238,1763675
梅州,111.0,11.8,29,30,18.78,2.66,3,1,63889,922,住宅,精装,3999,443926
汕尾,113.6,9.3,5,13,5.6,2.03,0,0,109112,933,住宅,精装,9333,1059862
梅州,75.3,0.3,7,18,6.35,0.23,3,2,99891,1026,住宅,豪装,11752,884837
河源,112.3,11.4,20,26,2.98,2.91,2,4,55419,336,住宅,精装,6183,694534
深圳,97.1,11.7,4,24,3.56,1.39,0,1,94243,1613,公寓,精装,74388,7220626
潮州,116.3,12.3,30,33,9.42,0.73,2,1,77188,1047,住宅,毛坯,4984,579653
中山,115.3,11.6,25,27,10.45,0.64,8,1,72581,1051,住宅,豪装,20676,2385049
珠海,77.5,1.0,16,34,23.21,1.05,4,1,103835,1314,公寓,豪装,28328,2195773
东莞,93.5,3.3,23,28,7.67,0.91,6,2,101953,987,住宅,简装,34721,3246875
肇庆,40.0,12.1,24,25,12.82,3.46,4,1,77564,363,住宅,豪装,8190,327610
茂名,113.9,12.6,13,21,3.73,3.96,5,4,95336,745,住宅,简装,9054,1031538
深圳,90.5,19.1,16,28,30.59,1.86,2,5,89999,604,住宅,精装,23949,2168624
潮州,105.8,22.3,29,32,1.23,0.19,3,3,90826,719,住宅,精装,8147,862098
江门,112.5,30.0,18,34,22.04,3.9,0,3,92038,485,住宅,精装,4428,498031
湛江,95.9,14.8,2,23,45.12,2.01,5,1,80985,219,住宅,精装,3000,287564
汕头,54.8,3.7,4,21,2.91,1.87,2,6,70286,698,住宅,简装,10219,559985
云浮,86.8,1.6,8,14,36.0,0.02,5,0,70855,889,住宅,精装,3000,260282
中山,110.8,0.8,29,29,2.28,0.51,4,5,45072,134,住宅,精装,19531,2163322
汕尾,40.0,2.4,28,34,13.13,0.52,3,5,85760,718,住宅,豪装,7725,309016
惠州,135.6,8.5,15,28,8.07,0.03,1,0,121988,399,住宅,简装,20269,2747766
汕头,47.8,2.9,4,20,11.4,1.87,2,2,68768,1129,住宅,精装,11042,528061
云浮,53.9,8.8,6,32,1.48,2.81,0,3,93853,791,公寓,精装,6892,371342
汕头,113.3,4.9,4,15,0.22,0.25,3,3,53631,1003,住宅,精装,13807,1564656
茂名,121.7,2.2,6,21,0.82,3.18,2,4,75017,1026,住宅,简装,10482,1276243
佛山,94.2,4.9,2,10,10.8,0.56,1,4,36768,100,住宅,精装,10853,1022662
江门,130.9,16.6,25,33,3.12,0.04,2,4,79642,1013,住宅,精装,20391,2670216
珠海,110.3,10.3,16,22,19.55,1.3,8,2,78393,946,公寓,精装,20326,2242634
东莞,155.9,7.5,1,20,10.78,0.8,5,2,73630,761,住宅,简装,19491,3037956
珠海,114.8,0.1,24,29,3.05,0.48,2,2,77052,753,公寓,精装,32375,3717075
清远,116.7,5.5,28,29,13.17,0.1,8,2,98431,851,公寓,精装,8793,1026176
汕头,127.3,12.2,17,22,28.03,4.84,3,4,70209,884,住宅,简装,4675,595054
中山,67.7,6.4,17,30,46.72,0.06,1,1,92082,1125,公寓,精装,3000,203234
东莞,102.9,1.5,15,32,95.46,3.03,4,4,68824,1762,住宅,简装,3000,308738
湛江,89.7,3.1,5,10,15.87,2.93,3,2,111504,197,住宅,精装,5878,527407
佛山,55.8,1.1,11,25,15.04,0.11,2,3,84532,670,住宅,简装,17610,981876
梅州,136.6,5.1,12,31,28.21,0.81,3,4,79743,882,住宅,毛坯,4347,593778
东莞,100.6,24.0,1,4,41.71,3.49,2,1,101594,1450,住宅,精装,3110,312904
汕尾,80.8,14.6,18,21,27.28,0.33,2,2,98298,100,住宅,精装,3000,242337
珠海,112.6,28.9,8,34,4.42,1.9,1,0,88611,331,公寓,简装,15020,1690790
江门,64.6,1.3,6,14,2.76,1.11,1,0,61486,1375,公寓,毛坯,13617,879121
东莞,155.3,14.7,25,27,3.5,1.24,6,1,59126,542,公寓,精装,21792,3384016
东莞,60.8,0.2,17,32,2.22,1.89,3,0,82134,540,公寓,简装,25498,1550778
揭阳,119.2,10.0,24,30,24.75,0.37,4,3,30000,834,公寓,简装,3000,357600
清远,115.8,0.4,28,33,28.81,1.02,3,4,88094,643,住宅,精装,4774,553109
汕尾,91.9,1.9,23,26,9.47,0.27,1,2,127289,240,住宅,毛坯,6864,630775
潮州,96.0,30.0,20,28,11.78,0.99,2,1,94099,578,住宅,精装,3734,358568
东莞,81.7,1.6,12,18,33.72,0.02,3,2,94829,1406,住宅,简装,14582,1191432
汕头,111.7,0.5,8,20,3.55,5.95,3,1,60406,1120,公寓,简装,6795,759340
梅州,99.6,12.9,25,32,3.58,4.84,2,0,93890,685,住宅,简装,5061,503864
江门,88.8,5.4,24,28,5.44,2.29,6,1,82001,248,住宅,简装,12103,1074506
潮州,105.3,4.0,7,33,5.75,4.5,3,3,79415,828,公寓,简装,7160,753974
梅州,56.9,0.6,22,28,9.29,0.59,2,3,95980,836,住宅,简装,7624,433590
江门,87.8,2.1,13,30,5.53,9.63,0,0,63026,993,公寓,毛坯,6259,549429
湛江,89.7,3.7,19,25,5.93,2.6,2,1,78094,724,住宅,豪装,10417,934878
河源,40.0,23.9,26,26,1.5,11.52,2,4,101820,483,公寓,精装,3000,120000
揭阳,140.1,1.3,17,21,7.51,1.89,0,1,78100,686,住宅,简装,7066,989829
潮州,66.9,10.3,16,16,20.94,0.06,2,3,103357,545,住宅,毛坯,3542,236981
阳江,95.0,11.8,12,14,3.61,0.01,3,5,81052,521,公寓,简装,7800,740915
清远,88.0,1.5,1,5,1.53,0.87,4,1,84039,944,住宅,精装,13362,1175754
云浮,114.2,17.6,13,33,3.38,1.12,1,1,113952,818,住宅,豪装,9119,1041061
佛山,97.4,2.1,21,23,48.92,1.59,1,3,103576,1187,住宅,精装,3000,292314
珠海,130.2,30.0,18,26,29.21,0.22,2,3,103751,496,住宅,简装,9919,1291849
梅州,80.0,1.8,14,29,9.59,2.6,6,1,90428,1324,住宅,简装,6276,502148
揭阳,139.0,8.3,1,2,19.73,0.59,3,2,90649,978,住宅,精装,6475,899812
云浮,40.0,1.4,23,30,39.77,0.33,3,2,78997,642,别墅,精装,3040,121635
汕头,94.7,4.3,18,20,38.5,3.27,2,2,74403,1119,住宅,毛坯,3000,284024
云浮,71.7,27.0,11,27,44.69,3.49,4,1,57322,1153,住宅,简装,3000,215078
清远,108.5,20.8,30,31,36.6,0.19,2,1,85550,1146,住宅,精装,3000,325615
湛江,41.4,4.1,8,31,0.58,0.09,7,3,90931,462,住宅,简装,11132,460913
汕尾,121.1,9.0,25,28,4.13,4.19,4,1,86543,636,公寓,毛坯,5860,709925
云浮,91.4,0.8,7,25,10.08,0.42,0,1,104327,723,住宅,精装,7144,652784
茂名,85.4,1.0,9,10,9.27,0.75,3,3,90317,451,住宅,简装,9812,837745
湛江,69.9,2.3,28,33,19.13,0.1,2,1,74550,184,别墅,豪装,9431,659479
河源,137.1,0.1,19,27,20.4,0.49,1,2,74650,422,公寓,毛坯,3117,427265
佛山,117.3,10.8,12,25,6.06,1.27,5,4,101225,849,住宅,精装,30442,3571746
珠海,59.4,0.2,5,16,12.64,4.18,5,2,91578,1032,住宅,简装,27541,1635259
惠州,107.5,2.7,3,12,17.04,1.66,2,4,90583,690,住宅,精装,19293,2073238
惠州,47.2,4.3,16,30,2.95,2.83,0,1,106388,1062,住宅,简装,19346,913640
中山,124.4,2.0,19,34,14.75,1.08,2,2,43390,508,住宅,简装,13185,1640443
阳江,110.8,6.7,26,33,5.91,0.54,6,1,56359,1281,公寓,简装,7822,866621
梅州,166.0,13.7,1,22,66.31,0.02,2,3,84862,1030,住宅,毛坯,3000,497908
江门,92.0,21.5,3,19,8.36,0.22,3,1,67643,420,住宅,精装,12117,1114734
茂名,101.4,0.3,5,15,11.77,2.22,0,2,104496,458,住宅,豪装,9667,980437
梅州,55.9,7.2,11,25,61.19,1.73,0,4,54218,197,住宅,精装,3000,167787
东莞,75.8,8.1,16,22,2.44,0.19,2,1,58809,1162,公寓,简装,24059,1824237
韶关,72.9,9.8,22,26,5.74,1.61,1,0,40991,473,住宅,简装,4934,359534
湛江,54.5,6.4,18,31,0.79,6.17,2,0,73997,100,别墅,豪装,8979,489034
河源,109.8,4.9,21,31,44.09,1.85,2,2,107058,574,住宅,简装,3000,329463
汕尾,103.5,4.1,26,33,10.7,2.54,2,4,74922,772,住宅,毛坯,6225,644341
肇庆,104.4,27.5,8,33,21.99,1.12,4,4,71713,707,公寓,简装,5181,540989
茂名,88.2,2.1,12,13,8.31,2.82,4,3,113333,941,住宅,精装,9030,796860
江门,120.1,9.3,20,32,11.83,0.32,5,2,64398,735,住宅,毛坯,11368,1364963
中山,44.0,20.8,11,13,21.27,1.51,5,0,65305,383,住宅,豪装,9188,404133
深圳,134.9,5.7,15,16,6.06,4.62,1,3,77017,598,公寓,简装,55315,7462345
佛山,78.6,2.6,9,13,8.45,2.09,2,1,95313,236,住宅,简装,18259,1435602
佛山,101.0,2.4,10,25,28.31,1.03,4,4,89352,329,住宅,精装,11301,1140992
韶关,104.8,2.3,30,34,43.03,2.57,4,2,94488,1360,别墅,简装,3000,314416
潮州,126.4,3.5,26,31,2.62,0.83,1,4,80777,502,公寓,精装,8030,1015250
肇庆,141.0,0.9,24,31,12.16,2.34,3,4,88410,1050,住宅,精装,14735,2077233
清远,40.0,4.4,16,20,43.52,1.59,5,3,58735,717,住宅,精装,3000,120000
汕尾,134.7,2.4,3,3,10.26,0.21,3,2,74162,997,住宅,精装,9521,1282787
广州,86.1,18.0,5,7,10.7,0.56,5,3,70742,939,住宅,豪装,39511,3403881
揭阳,83.4,0.5,27,31,33.28,2.02,2,5,64283,738,住宅,精装,3000,250341
东莞,121.4,0.6,24,33,1.84,0.15,4,4,68621,1261,住宅,简装,42661,5177320
湛江,144.9,2.5,15,21,6.52,1.03,0,3,70478,961,别墅,简装,14922,2162638
汕尾,118.2,30.0,27,28,23.78,3.04,4,1,71328,885,住宅,简装,3000,354500
汕头,123.2,6.1,25,26,32.7,0.44,3,1,49404,1301,住宅,简装,3996,492235
汕头,93.2,28.1,21,32,9.47,8.33,3,1,78575,566,住宅,精装,3542,330173
韶关,40.0,2.5,25,31,2.17,1.46,4,0,101543,873,住宅,毛坯,9305,372226
潮州,40.0,9.6,18,21,4.81,4.22,7,2,78138,901,住宅,简装,6597,263906
梅州,109.7,22.0,16,33,6.07,0.18,2,4,110054,982,别墅,精装,11062,1213791
湛江,87.0,0.3,21,30,7.27,0.5,4,3,86460,1143,住宅,精装,12479,1085706
茂名,57.1,11.4,11,20,16.77,11.76,3,3,123834,1097,别墅,简装,5144,293532
潮州,83.1,6.5,23,24,3.77,0.84,2,3,110887,705,住宅,简装,8606,715133
湛江,88.0,12.4,30,31,105.04,3.65,5,2,85854,137,住宅,毛坯,3000,263994
珠海,89.6,6.1,13,32,12.43,0.26,5,3,91633,1227,别墅,简装,56789,5087613
汕尾,128.3,14.0,12,12,32.63,0.64,1,1,49983,489,公寓,豪装,3000,384982
汕尾,92.9,8.3,27,31,6.46,1.17,2,2,91093,969,住宅,精装,9573,889356
中山,88.9,25.2,19,30,19.67,0.52,1,4,63302,338,公寓,精装,8071,717776
揭阳,66.4,0.9,13,22,8.98,0.78,6,3,69276,547,住宅,精装,6992,464462
肇庆,61.9,0.8,14,25,2.2,0.34,1,0,71222,867,住宅,毛坯,12260,758975
江门,66.7,0.4,5,9,2.21,1.78,5,3,107655,728,住宅,毛坯,19250,1283897
湛江,123.5,8.7,23,30,1.64,1.7,4,0,92067,951,住宅,毛坯,10359,1279388
广州,72.2,6.2,20,26,17.09,2.55,1,0,81744,817,公寓,毛坯,25582,1848030
珠海,108.1,2.4,9,31,27.18,0.38,1,4,73568,923,住宅,简装,20431,2208899
汕尾,40.0,11.3,15,19,31.42,1.57,3,3,80632,655,住宅,豪装,3545,141819
东莞,82.0,2.6,18,20,15.76,2.83,4,6,87849,678,住宅,简装,21459,1760074
广州,124.4,1.7,18,25,0.36,2.89,2,1,75006,1060,住宅,精装,50626,6296835
韶关,43.7,2.2,21,30,28.36,1.92,1,4,87427,1046,公寓,简装,3631,158539
云浮,56.3,0.9,15,18,4.67,3.43,2,4,73968,908,住宅,豪装,7614,428823
韶关,82.1,7.6,4,28,4.81,0.24,1,2,120169,892,别墅,精装,17638,1447878
梅州,91.8,8.4,26,26,22.63,2.67,3,2,53913,1251,公寓,精装,3505,321939
汕尾,112.6,2.3,14,17,14.28,3.94,4,0,77451,751,住宅,简装,5642,635311
汕尾,85.7,17.7,19,23,8.0,0.15,5,2,68985,650,公寓,毛坯,4016,344191
阳江,125.5,3.0,1,29,16.12,7.41,8,2,56563,212,住宅,简装,3560,446688
云浮,86.3,3.8,16,23,9.43,0.59,3,1,65850,827,住宅,精装,6541,564550
清远,70.2,17.0,24,29,1.29,1.92,0,2,87836,474,住宅,豪装,9444,663346
云浮,55.6,4.6,20,23,8.87,0.14,3,2,93506,826,住宅,豪装,8182,455207
惠州,59.3,10.4,20,25,63.76,0.48,5,2,92265,100,别墅,简装,3000,177948
佛山,61.3,2.7,6,17,4.8,1.41,4,1,57965,485,住宅,毛坯,18335,1123329
汕头,108.6,1.2,8,30,3.37,3.12,3,5,78676,800,公寓,毛坯,7698,836407
珠海,56.7,3.3,1,33,2.54,3.12,1,3,103131,361,公寓,精装,24425,1384373
潮州,91.5,11.9,9,28,15.04,0.1,3,2,56860,307,住宅,豪装,4762,435613
